airport_code,airport_name,month,year,num_of_flights_total,num_of_delays_carrier,num_of_delays_late_aircraft,num_of_delays_nas,num_of_delays_security,num_of_delays_weather,num_of_delays_total,minutes_delayed_carrier,minutes_delayed_late_aircraft,minutes_delayed_nas,minutes_delayed_security,minutes_delayed_weather,minutes_delayed_total
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",January,2005,35048,1500+,-999,4598,10,448,8355,116423,104415,207467,297,36931,465533
DEN,"Denver, CO: Denver International",January,2005,12687,1041,928,935,11,233,3153,53537,70301,36817,363,21779,182797
IAD,,January,2005,12381,414,1058,895,4,61,2430,NA,70919,35660,208,4497,134881
ORD,"Chicago, IL: Chicago O'Hare International",January,2005,28194,1197,2255,5415,5,306,9178,88691,160811,364382,151,24859,638894
SAN,"San Diego, CA: San Diego International",January,2005,7283,572,680,638,7,56,1952,27436,38445,21127,218,4326,91552
SFO,"San Francisco, CA: San Francisco International",January,2005,10274,798,733,1166,7,114,2816,41570,47705,60380,247,7373,157275
SLC,"Salt Lake City, UT: Salt Lake City International",January,2005,12000,817,564,864,13,270,2525,36252,30557,35977,327,27219,130332
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Febuary,2005,33702,1288,-999,6104,2,399,9195,86876,86698,321969,36,31944,527523
DEN,"Denver, CO: Denver International",Febuary,2005,11480,729,432,581,4,42,1788,33205,26228,16864,271,2781,79349
IAD,"Washington, DC: Washington Dulles International",Febuary,2005,10042,284,631,691,4,28,1639,15573,39840,NA,169,1359,78878
ORD,"Chicago, IL: Chicago O'Hare International",Febuary,2005,25665,794,1222,3132,6,114,5269,50136,72868,164398,208,7256,294866
SAN,"San Diego, CA: San Diego International",Febuary,2005,6543,447,491,671,1,23,1635,21755,28887,20705,44,1285,72676
SFO,"San Francisco, CA: San Francisco International",Febuary,2005,9327,599,457,1010,0,57,2122,30760,27302,NA,6,3178,110995
SLC,,Febuary,2005,12404,645,463,752,10,79,1947,32336,23087,24544,293,4614,84874
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",March,2005,37806,1462,-999,5697,11,423,9431,NA,150766,396191,568,33379,691887
DEN,"Denver, CO: Denver International",March,2005,12979,852,586,530,9,85,2062,40782,35283,15775,351,5265,97456
IAD,"Washington, DC: Washington Dulles International",March,2005,11249,372,724,777,5,43,1921,20587,53667,27186,459,3505,105404
ORD,"Chicago, IL: Chicago O'Hare International",March,2005,28785,1026,1665,3686,9,159,6544,65241,103993,178333,457,11672,359696
